person1,person2,weight,relation_types,documents_count
Χοιὰχ Εἰρήνη,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Μεχείρ,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Μεχεὶρ,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Φαμενὼθ,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Φαρμοῦ,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Φαρμοῦθι,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Χοιάχ,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Τῦβι,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Τῦβι,Θεσμοφό,1,co_occurs_in_document,1
Τῦβι,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Τῦβι,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Τῦβι,Μεχείρ,1,co_occurs_in_document,1
Τῦβι,Μεχεὶρ,3,co_occurs_in_document,3
Τῦβι,Φαμενὼθ,2,co_occurs_in_document,2
Τῦβι,Φαρμοῦ,1,co_occurs_in_document,1
Τῦβι,Φαρμοῦθι,5,co_occurs_in_document,5
Τῦβι,Χοιάχ,1,co_occurs_in_document,1
Τῦβι,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Τῦβι,Γεωργίου,1,co_occurs_in_document,1
Τῦβι,Κοσμᾶ,1,co_occurs_in_document,1
Τῦβι,Μηνᾶς,1,co_occurs_in_document,1
Τῦβι,Θεοδόσιος,1,co_occurs_in_document,1
Τῦβι,Εὐφημίαν,1,co_occurs_in_document,1
Τῦβι,Κύρος,1,co_occurs_in_document,1
Τῦβι,Μαρίᾳ,1,co_occurs_in_document,1
Τῦβι,Πτολεμαίωι,1,co_occurs_in_document,1
Τῦβι,Γψοε,1,co_occurs_in_document,1
Τῦβι,Πτολεμαῖον,1,co_occurs_in_document,1
Τῦβι,Κύριλλος Γεροντίῳ,1,co_occurs_in_document,1
Τῦβι,Αὐρηλίῳ Διονυσίῳ,1,co_occurs_in_document,1
Τῦβι,Αὐρηλίων Λογγείνου,1,co_occurs_in_document,1
Τῦβι,Ζωσίμου Λεωνίδου,1,co_occurs_in_document,1
Τῦβι,Σαραπίωνος,1,co_occurs_in_document,1
Τῦβι,Κοπρῆτος,1,co_occurs_in_document,1
Τῦβι,Καρανίδος,1,co_occurs_in_document,1
Τῦβι,Χύακ,1,co_occurs_in_document,1
Τῦβι,Κερκεσούχων,1,co_occurs_in_document,1
Τῦβι,Ζρ,1,co_occurs_in_document,1
Τῦβι,Ζυιε,1,co_occurs_in_document,1
Τῦβι,Γχϙζ,1,co_occurs_in_document,1
Τῦβι,Βυξε,1,co_occurs_in_document,1
Τῦβι,Πτολεμαΐδος,1,co_occurs_in_document,1
Τῦβι,ΣτράτωνοςΣτρ,1,co_occurs_in_document,1
Τῦβι,Σεουήρου,1,co_occurs_in_document,1
Τῦβι,Γψιη,1,co_occurs_in_document,1
Τῦβι,Αὐρήλιος Λογγῖνος,1,co_occurs_in_document,1
Τῦβι,Ζώσιμος,1,co_occurs_in_document,1
Τῦβι,Αὐρήλιος,1,co_occurs_in_document,1
Τῦβι,Μάρκου Αὐρηλίου,3,co_occurs_in_document,3
Τῦβι,Παρθικοῦ,1,co_occurs_in_document,1
Τῦβι,Βρεντανικοῦ,1,co_occurs_in_document,1
Τῦβι,Γερμανικοῦ,1,co_occurs_in_document,1
Τῦβι,Εὐσεβοῦς Σεβαστοῦ,1,co_occurs_in_document,1
Τῦβι,προσαναλαμβάνονταιπροσαναληφθεῖσαι,1,co_occurs_in_document,1
Τῦβι,Αὐρηλίου Φος,1,co_occurs_in_document,1
Τῦβι,Θὼθ,1,co_occurs_in_document,1
Τῦβι,Μεσορὴ,1,co_occurs_in_document,1
Τῦβι,Σιλβανοῦ,1,co_occurs_in_document,1
Τῦβι,Σιναρχῆβι,1,co_occurs_in_document,1
Τῦβι,Πρερῆ,1,co_occurs_in_document,1
Τῦβι,Κιρκᾶ,1,co_occurs_in_document,1
Τῦβι,Αἰμιλίου,1,co_occurs_in_document,1
Τῦβι,Πόλιτος,1,co_occurs_in_document,1
Τῦβι,Διοσκόρου Λήους,1,co_occurs_in_document,1
Τῦβι,Παήσιος,1,co_occurs_in_document,1
Τῦβι,Σόϊτος,1,co_occurs_in_document,1
Τῦβι,"PBad2,26,inv213",1,co_occurs_in_document,1
Τῦβι,Διὸς,1,co_occurs_in_document,1
Τῦβι,Βπ,1,co_occurs_in_document,1
Τῦβι,Λουκίου Σεπτιμίου,1,co_occurs_in_document,1
Τῦβι,Σεουήρου Εὐσεβοῦς,1,co_occurs_in_document,1
Τῦβι,Περτίνακος,1,co_occurs_in_document,1
Τῦβι,Εὐσεβοῦς Σεβαστῶν,1,co_occurs_in_document,1
Τῦβι,Ποπλίου Σεπτιμίου,1,co_occurs_in_document,1
Τῦβι,Γέτα Καίσαρος,1,co_occurs_in_document,1
Τῦβι,Σεβαστοῦ Μεχεὶρ,1,co_occurs_in_document,1
Τῦβι,Στοτοῆτις,1,co_occurs_in_document,1
Τῦβι,Ταουήτιος,1,co_occurs_in_document,1
Τῦβι,Σοκνοπαίου Νήσου,1,co_occurs_in_document,1
Τῦβι,ἱερέωνἱερῶν,1,co_occurs_in_document,1
Τῦβι,Κυριακὸς Θέωνι,1,co_occurs_in_document,1
Τῦβι,Δημητρίῳ,1,co_occurs_in_document,1
Τῦβι,Διδύμῳ,1,co_occurs_in_document,1
Τῦβι,Κυριακός,1,co_occurs_in_document,1
Τῦβι,Νεφερᾶ Φαληγ,1,co_occurs_in_document,1
Τῦβι,Λητοῦς,1,co_occurs_in_document,1
Τῦβι,Φῖβ Ποῦσι,1,co_occurs_in_document,1
Τῦβι,Νειλάμμωνος,1,co_occurs_in_document,1
Τῦβι,Πουιαμ Παύλου,1,co_occurs_in_document,1
Τῦβι,Μακαρίουμακαρίου Τωριες,1,co_occurs_in_document,1
Τῦβι,Χηλου,1,co_occurs_in_document,1
